"Time since engine start(millis)","Unix Epoch Timestamp","Date/Time",unused,"AITS (blackair)",unused,unused,unused,"Battery Voltage(~12v)",unused,unused,unused,unused,unused,RPM
1999, 1478549964,"2016/11/7 20:19:24",3.21,75.24,,,3.49,12.09,4.16,12.33,4.16,-8.45,,0
2999, 1478549965,"2016/11/7 20:19:25",3.21,75.24,,,3.52,12.19,4.16,12.33,4.16,-8.45,,0
3999, 1478549966,"2016/11/7 20:19:26",3.21,75.24,,,3.52,12.19,4.16,12.33,4.16,-8.45,,0
5000, 1478549967,"2016/11/7 20:19:27",3.21,75.24,,,3.52,12.19,4.16,12.33,4.16,-8.45,,0
5999, 1478549968,"2016/11/7 20:19:28",3.20,75.04,,,3.52,12.19,4.16,12.33,4.16,-8.45,,0
6999, 1478549969,"2016/11/7 20:19:29",3.20,75.04,,,3.49,12.09,4.16,12.33,4.15,-9.79,,0
7999, 1478549970,"2016/11/7 20:19:30",3.21,75.24,,,3.52,12.19,4.16,12.33,4.16,-8.45,,0
8998, 1478549971,"2016/11/7 20:19:31",3.20,75.04,,,3.52,12.21,4.16,12.33,4.16,-8.45,,0
10000, 1478549972,"2016/11/7 20:19:32",3.20,75.04,,,3.52,12.19,4.16,12.33,4.16,-8.45,,0
10998, 1478549973,"2016/11/7 20:19:33",3.20,75.04,,,3.13,10.84,4.16,12.33,4.16,-8.45,,0
11999, 1478549974,"2016/11/7 20:19:34",3.20,74.83,,,3.43,11.89,4.16,12.33,4.15,-9.79,,0
12998, 1478549975,"2016/11/7 20:19:35",3.20,74.83,,,3.66,12.70,4.16,12.33,4.16,-8.45,,66
13999, 1478549976,"2016/11/7 20:19:36",3.21,75.45,,,3.91,13.55,4.16,12.33,4.16,-8.45,,930
14998, 1478549977,"2016/11/7 20:19:37",3.23,76.06,,,4.02,13.96,4.16,12.33,4.16,-8.45,,899
16000, 1478549978,"2016/11/7 20:19:38",3.24,76.66,,,4.01,13.92,4.16,12.33,4.16,-8.45,,986
